doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher
10.1023/a:1014083331759,,,,,False,,2,https://doi.org/10.1023/a:1014083331759,journal-article,False,False,False,False,0165-5752,"0165-5752,1573-5192",Systematic Parasitology,closed,2002-02-01,Springer Science and Business Media LLC
10.3201/eid1606.091187,oa journal (via doaj),publisher,cc-by,https://doi.org/10.3201/eid1606.091187,True,publishedVersion,2,https://doi.org/10.3201/eid1606.091187,journal-article,True,False,True,True,1080-6040,"1080-6040,1080-6059",Emerging Infectious Diseases,gold,2010-06-01,Centers for Disease Control and Prevention (CDC)
10.7589/0090-3558-39.1.145,,,,,False,,2,https://doi.org/10.7589/0090-3558-39.1.145,journal-article,False,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,closed,2003-01-01,Wildlife Disease Association
10.1111/j.1365-294x.2006.02903.x,,,,,False,,2,https://doi.org/10.1111/j.1365-294x.2006.02903.x,journal-article,False,False,False,False,0962-1083,0962-1083,Molecular Ecology,closed,2006-03-16,Wiley
10.1098/rspb.2009.1001,open (via page says license),publisher,cc-by,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2009.1001,True,publishedVersion,2,https://doi.org/10.1098/rspb.2009.1001,journal-article,True,False,False,False,0962-8452,"0962-8452,1471-2954",Proceedings of the Royal Society B: Biological Sciences,hybrid,2009-07-15,The Royal Society
10.1079/joh2005285,,,,,False,,2,https://doi.org/10.1079/joh2005285,journal-article,False,False,False,False,0022-149X,"0022-149X,1475-2697",Journal of Helminthology,closed,2005-06-01,Cambridge University Press (CUP)
10.1099/0022-1317-79-8-1871,open (via free article),publisher,,https://doi.org/10.1099/0022-1317-79-8-1871,True,publishedVersion,2,https://doi.org/10.1099/0022-1317-79-8-1871,journal-article,True,False,False,False,0022-1317,"0022-1317,1465-2099",Journal of General Virology,bronze,1998-08-01,Microbiology Society
10.2478/s11686-008-0058-z,,,,,False,,2,https://doi.org/10.2478/s11686-008-0058-z,journal-article,False,False,False,False,1230-2821,"1896-1851,1230-2821",Acta Parasitologica,closed,2008-01-01,Walter de Gruyter GmbH
10.7589/0090-3558-35.1.75,open (via free pdf),publisher,,http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-35.1.75,True,publishedVersion,2,https://doi.org/10.7589/0090-3558-35.1.75,journal-article,True,False,False,False,0090-3558,0090-3558,Journal of Wildlife Diseases,bronze,1999-01-01,Wildlife Disease Association
10.1139/z88-199,,,,,False,,2,https://doi.org/10.1139/z88-199,journal-article,False,False,False,False,0008-4301,"0008-4301,1480-3283",Canadian Journal of Zoology,closed,1988-06-01,Canadian Science Publishing
